iso_o,iso_d,year,FLOW,SOURCE_TF,XPTOT_o,IPTOT_o,XPTOT_d,IPTOT_d
MRT,PRT,1962,0.0,DOTS_IP,1.071429e+06,1.2750006e+07,1.5024293e+08,2.0888749e+08
MTQ,PRT,1962,0.0,DOTS_IP,1.5785722e+07,2.032732e+07,1.5024293e+08,2.0888749e+08
MUS,PRT,1962,0.0,DOTS_IP,2.1571438e+07,2.3321438e+07,1.5024293e+08,2.0888749e+08
MWI,PRT,1962,0.0,DOTS_IP,1.0175e+07,1.4285721e+07,1.5024293e+08,2.0888749e+08
MYS,PRT,1962,0.0,DOTS_IP,3.8033232e+08,3.5653408e+08,1.5024293e+08,2.0888749e+08
NAM,PRT,1962,0.0,DOTS_IP,,,1.5024293e+08,2.0888749e+08
NCL,PRT,1962,0.0,DOTS_IP,1.2714291e+07,1.4653392e+07,1.5024293e+08,2.0888749e+08
NER,PRT,1962,0.0,DOTS_IP,5.607145e+06,9.750004e+06,1.5024293e+08,2.0888749e+08
NGA,PRT,1962,285714.4,DOTS_IP,1.7380722e+08,2.0264294e+08,1.5024293e+08,2.0888749e+08
NIC,PRT,1962,607143.1,DOTS_XP,3.2285728e+07,3.3171444e+07,1.5024293e+08,2.0888749e+08
NLD,PRT,1962,6.035717e+06,DOTS_IP,1.6271793e+09,2.0787046e+09,1.5024293e+08,2.0888749e+08
NOR,PRT,1962,1.535715e+06,DOTS_IP,3.466073e+08,5.8935744e+08,1.5024293e+08,2.0888749e+08
NPL,PRT,1962,0.0,DOTS_IP,2.142858e+06,,1.5024293e+08,2.0888749e+08
NRU,PRT,1962,0.0,DOTS_IP,,,1.5024293e+08,2.0888749e+08
NZL,PRT,1962,785714.6,DOTS_IP,3.2948765e+08,2.632537e+08,1.5024293e+08,2.0888749e+08
OMN,PRT,1962,0.0,DOTS_IP,1.178572e+06,4.285716e+06,1.5024293e+08,2.0888749e+08
PAK,PRT,1962,1.03571475e+06,DOTS_IP,1.4946435e+08,2.6003582e+08,1.5024293e+08,2.0888749e+08
PAN,PRT,1962,0.0,DOTS_IP,3.9325016e+07,8.517861e+07,1.5024293e+08,2.0888749e+08
PER,PRT,1962,35714.3,DOTS_IP,2.3020011e+08,1.9167866e+08,1.5024293e+08,2.0888749e+08
PHL,PRT,1962,0.0,DOTS_IP,2.4001797e+08,2.309644e+08,1.5024293e+08,2.0888749e+08
PNG,PRT,1962,0.0,DOTS_IP,1.1914291e+07,2.398112e+07,1.5024293e+08,2.0888749e+08
POL,PRT,1962,,DOTS_IP,5.879467e+08,6.732145e+08,1.5024293e+08,2.0888749e+08
PRK,PRT,1962,0.0,DOTS_IP,653571.7,,1.5024293e+08,2.0888749e+08
PRT,AFG,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,2.1035724e+07,4.1428588e+07
PRT,AGO,1962,2.0035724e+07,DOTS_IP,1.5024293e+08,2.0888749e+08,5.2750024e+07,4.825002e+07
PRT,ALB,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,1.2714291e+06,3.6892872e+06
PRT,ANT,1962,78571.46,DOTS_IP,1.5024293e+08,2.0888749e+08,2.3989294e+08,2.8293584e+08
PRT,ARE,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,5.9740285e+06,6.071431e+07
PRT,ARG,1962,678571.75,DOTS_IP,1.5024293e+08,2.0888749e+08,4.8916128e+08,4.8110736e+08
PRT,ATG,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,1.071429e+06,4.642859e+06
PRT,AUS,1962,1.1392862e+06,DOTS_IP,1.5024293e+08,2.0888749e+08,8.282861e+08,8.707682e+08
PRT,AUT,1962,1.1071434e+06,DOTS_IP,1.5024293e+08,2.0888749e+08,4.5046448e+08,5.5160736e+08
PRT,BDI,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,3.2142872e+06,6.7857175e+06
PRT,BEL,1962,4.1785732e+06,DOTS_IP,1.5024293e+08,2.0888749e+08,1.5406077e+09,1.6196436e+09
PRT,BEN,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,4.1785732e+06,8.500004e+06
PRT,BFA,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,3.892859e+06,1.2392863e+07
PRT,BGD,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,,
PRT,BGR,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,2.747254e+08,2.808304e+08
PRT,BHR,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,7.553574e+07,7.178574e+07
PRT,BHS,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,5.9321455e+06,3.9882484e+07
PRT,BLZ,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,3.289287e+06,1.3178577e+07
PRT,BMU,1962,71428.6,DOTS_IP,1.5024293e+08,2.0888749e+08,9.250004e+06,2.5633128e+07
PRT,BOL,1962,71428.6,DOTS_IP,1.5024293e+08,2.0888749e+08,2.714287e+07,3.49643e+07
PRT,BRA,1962,1.3357149e+06,DOTS_IP,1.5024293e+08,2.0888749e+08,4.9295306e+08,5.752217e+08
PRT,BRB,1962,35714.3,DOTS_IP,1.5024293e+08,2.0888749e+08,1.0474755e+07,1.842858e+07
PRT,BRN,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,2.3214296e+07,5.714288e+06
PRT,BWA,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,3.3295015e+06,3.8850018e+06
PRT,CAF,1962,,DOTS_IP,1.5024293e+08,2.0888749e+08,5.2677415e+06,8.874575e+06
PRT,CAN,1962,2.2142868e+06,DOTS_IP,1.5024293e+08,2.0888749e+08,2.276552e+09,2.3544653e+09
PRT,CHE,1962,2.4285725e+06,DOTS_IP,1.5024293e+08,2.0888749e+08,7.942861e+08,1.0768161e+09
PRT,CHL,1962,35714.3,DOTS_IP,1.5024293e+08,2.0888749e+08,2.1164294e+08,1.8260722e+08
PRT,CHN,1962,35714.3,DOTS_XP,1.5024293e+08,2.0888749e+08,6.832967e+08,4.9034662e+08
